contract_id	comp_nodes	comp_edges	transitivity	density	coverage	elapsed_time
0	23175878	66749040	1.52068e-05	2.48544e-07	0.999986	112026349655
1	1093419	4635498	0.00681204	7.7545e-06	0.975073	10596024030
2	8235742	18006586	1.48838e-05	5.30953e-07	0.999985	27470342969
3	1747934	4034039	9.30784e-05	2.64071e-06	0.998839	4927567205
4	2374247	4198212	1.90873e-05	1.48951e-06	0.999977	5623135332
5	519853	8436750	1.34013e-05	6.24374e-05	1	8653233335
6	2694800	4479337	5.5059e-06	1.23365e-06	0.999948	5213893731
7	99259	285711	0.000142482	5.79991e-05	0.99996	184244317
8	2679248	2952192	4.01177e-08	8.22525e-07	0.999997	2215733533
9	33056	159910	0.000533784	0.000292697	1	92137207
10	177286	356145	0.00115142	2.26626e-05	0.999904	273012407
11	1353065	2429589	4.75419e-06	2.65415e-06	0.999955	2389816277
12	1314236	2048021	1.67665e-05	2.37147e-06	0.999995	2327356674
13	219090	615753	0.000520719	2.56563e-05	0.999453	486679618
14	1355829	2089558	5.49953e-06	2.2734e-06	0.99998	2047783569
15	915712	1783685	2.57136e-05	4.25433e-06	0.999942	1735694544
16	461563	792553	5.28819e-05	7.44042e-06	0.99825	647533387
17	1062383	1900879	1.84221e-05	3.36839e-06	0.999887	1977482523
18	1236398	2467602	3.36472e-06	3.22841e-06	0.999986	2407512752
19	283513	589769	8.74395e-05	1.46746e-05	0.999968	464489613
20	410508	704238	7.7327e-05	8.35809e-06	0.993661	639392688
21	1548604	2390001	9.28672e-06	1.99318e-06	0.999985	2004663604
22	26690	147942	0.00151456	0.000415375	1	88673027
23	93436	267616	5.02642e-05	6.13082e-05	0.999979	151731868
24	197648	434199	0.000211649	2.22298e-05	0.995693	328927987
25	21289	31729	0.000269427	0.000140022	0.995883	26800454
26	222978	570959	2.26303e-05	2.29675e-05	0.999991	367610029
27	46951	153550	0.000259347	0.000139315	1	84029467
28	674	1265	0.00432898	0.00557758	0.975398	1935592
29	430444	799794	9.36e-06	8.63328e-06	0.999935	617466522
30	735394	1215734	4.41061e-05	4.49603e-06	0.999946	1252655167
31	670291	1133159	3.45475e-05	5.04423e-06	0.999946	1064390693
32	1193181	1885665	4.60377e-06	2.649e-06	1	1660302396
33	479829	860849	0.000313564	7.47799e-06	0.999942	780915558
34	413780	1220555	3.94857e-05	1.42577e-05	0.999942	922952200
35	405410	747209	1.42522e-05	9.09252e-06	0.999998	500849665
36	563861	808516	3.76935e-05	5.08599e-06	0.999738	789703231
37	289177	464213	0.000150046	1.11025e-05	0.999831	380968838
38	54258	156799	0.000787813	0.000106526	1	98984476
39	206645	394332	2.98408e-05	1.8469e-05	1	236479435
40	284388	596279	7.07422e-05	1.47455e-05	0.999715	454990236
41	8452	38718	0.00249372	0.00108411	1	27715857
42	326376	616052	6.95108e-05	1.15668e-05	0.962202	528208527
43	194079	382479	0.000215564	2.03087e-05	0.999969	295729050
44	50344	109590	5.18659e-05	8.64797e-05	1	68819275
45	393022	714554	6.40328e-05	9.25193e-06	0.999964	610464688
