contract_id	num_nodes	num_edges	elapsed_time
0	23176194	66790205	112866844951
1	1121371	4661611	38233372427
2	8235862	18020580	29572942969
3	1749966	4041285	7293498799
4	2374302	4200976	6720815429
5	519853	8437277	4972975137
6	2694940	4490210	5893278434
7	99263	286449	2084492452
8	2679256	2953011	3696229576
9	33056	159911	1289823207
10	177303	356402	1374474269
11	1353126	2462325	2784864259
12	1314242	2049394	2461398159
13	219210	616407	1302878988
14	1355856	2090360	2276087648
15	915765	1786731	2015886270
16	462372	794824	1111554534
17	1062503	1903757	2214411943
18	1236415	2469661	2255037018
19	283522	590343	975407498
20	413127	708313	1264303628
21	1548628	2390584	2049628725
22	26690	147943	819655814
23	93438	267734	523202557
24	198503	434934	903177387
25	21377	31830	61900663
26	222980	571169	715342573
27	46951	153552	659805125
28	691	1289	495214031
29	430472	801693	1036887369
30	735434	1216618	1361765331
31	670327	1134654	1235329716
32	1193181	1885666	1273803848
33	479857	861952	1023867254
34	413804	1220799	986418693
35	405411	747348	965408955
36	564009	809471	945584064
37	289226	464715	685384337
38	54258	156823	550554174
39	206645	394343	627401801
40	284469	597064	717959868
41	8452	38722	425484550
42	339197	624030	749130870
43	194085	382772	627678775
44	50344	109672	461088135
45	393036	715175	776611161
46	733550	746150	575244640
47	366481	642724	771369436
48	15637	81264	435152959
49	381156	497044	770762393
50	77960	162933	454732741
51	22251	72159	269771437
52	437628	749263	731380694
53	246082	523476	618780030
54	147278	346992	506656692
55	67403	286386	511090391
56	1265829	1279198	1120467915
57	13887	47248	380935927
58	2349	1636	3407161
59	23881	47701	338059445
60	223734	456169	585037457
61	297356	541839	601345184
62	246166	484744	535034005
63	706476	1133657	689925127
64	1200726	1202751	808190380
65	1199236	1199385	844193757
66	596102	1152550	601107980
67	262999	526007	557712774
68	91882	232697	440815989
69	78858	215431	428553315
70	604273	1161084	608041959
71	124740	330984	446174890
72	178864	319472	461949853
73	292860	510714	520161924
74	387047	634378	582198141
75	323664	519688	522467000
76	307196	532677	542660526
77	297259	511919	531844235
78	974789	993723	791819243
79	211234	363658	444753822
80	21972	131335	301630060
81	503562	729107	568605477
82	252532	453574	468733345
83	4289	2653	5028054
84	214205	424481	456414577
85	107690	206390	357345572
86	283191	446524	468330528
87	70251	88666	301682791
88	161355	332451	394650979
89	39938	107255	287809696
90	130649	198207	348068163
91	51083	78150	206428458
92	93773	479602	410485992
93	106384	218261	344060155
94	40623	88841	256174606
95	295712	469240	458358358
96	277705	445864	416459131
97	431525	762014	472842198
98	42397	103856	176538710
99	15761	63511	274329645
