contract_id,num_nodes,num_cc,num_nodes_in_largest,ratio
0,23176194,170,23175878,0.9999863653195171
1,1121371,15475,1093419,0.9750733700086769
2,8235862,68,8235742,0.9999854295761633
3,1749966,873,1747934,0.9988388345830719
4,2374302,33,2374247,0.999976835297279
5,519853,1,519853,1.0
6,2694940,99,2694800,0.9999480507914833
7,99263,4,99259,0.9999597030111925
8,2679256,6,2679248,0.9999970140964507
9,33056,1,33056,1.0
10,177303,11,177286,0.9999041189376379
11,1353126,41,1353065,0.9999549192019073
12,1314242,4,1314236,0.9999954346307606
13,219210,52,219090,0.9994525797180785
14,1355856,14,1355829,0.9999800863808546
15,915765,33,915712,0.9999421248901192
16,462372,370,461563,0.9982503265768689
17,1062503,79,1062383,0.9998870591424213
18,1236415,11,1236398,0.9999862505712079
19,283522,6,283513,0.9999682564315997
20,413127,1290,410508,0.9936605450624142
21,1548628,14,1548604,0.9999845024111665
22,26690,1,26690,1.0
23,93438,2,93436,0.9999785954322652
24,198503,401,197648,0.9956927603109272
25,21377,37,21289,0.9958834261121766
26,222980,2,222978,0.9999910305857027
27,46951,1,46951,1.0
28,691,6,674,0.975397973950796
29,430472,22,430444,0.9999349551190322
30,735434,20,735394,0.9999456103470876
31,670327,23,670291,0.9999462948680271
32,1193181,1,1193181,1.0
33,479857,16,479829,0.9999416492830155
34,413804,12,413780,0.9999420015272931
35,405411,2,405410,0.9999975333673728
36,564009,76,563861,0.9997375928398305
37,289226,26,289177,0.9998305823127934
38,54258,1,54258,1.0
39,206645,1,206645,1.0
40,284469,7,284388,0.9997152589561604
41,8452,1,8452,1.0
42,339197,6149,326376,0.9622019062668596
43,194085,4,194079,0.9999690857098694
44,50344,1,50344,1.0
45,393036,11,393022,0.999964379853245
46,733550,1414,685483,0.9344734510258332
47,366481,7,366471,0.9999727134558135
48,15637,1,15637,1.0
49,381156,1,381156,1.0
50,77960,1,77960,1.0
51,22251,5,22243,0.9996404655970518
52,437628,13,437609,0.9999565841308143
53,246082,156,245698,0.9984395445420632
54,147278,1,147278,1.0
55,67403,2,67402,0.9999851638651098
56,1265829,32,1265789,0.9999684001551552
57,13887,1,13887,1.0
58,2349,734,415,0.17667092379736057
59,23881,1,23881,1.0
60,223734,10,223719,0.999932956099654
61,297356,8,297343,0.9999562813597169
62,246166,28,246114,0.9997887604299538
63,706476,2,706472,0.9999943380949955
64,1200726,5,1200720,0.999995003023171
65,1199236,1,1199236,1.0
66,596102,174,590893,0.9912615626184781
67,262999,12,262982,0.9999353609709543
68,91882,1,91882,1.0
69,78858,1,78858,1.0
70,604273,1,604273,1.0
71,124740,2,124739,0.9999919833253167
72,178864,1,178864,1.0
73,292860,459,291860,0.9965853991668374
74,387047,22,386991,0.999855314729219
75,323664,5,323659,0.999984551880963
76,307196,4,307188,0.9999739579942447
77,297259,29,297213,0.9998452527930188
78,974789,5,974783,0.9999938448218024
79,211234,4,211231,0.999985797740894
80,21972,1,21972,1.0
81,503562,1,503562,1.0
82,252532,162,252197,0.9986734354458049
83,4289,1644,592,0.13802751224061552
84,214205,4,214200,0.9999766578744661
85,107690,6,107681,0.9999164267805739
86,283191,2,283190,0.9999964688143338
87,70251,1,70251,1.0
88,161355,3,161352,0.9999814074556103
89,39938,1,39938,1.0
90,130649,1,130649,1.0
91,51083,6,51072,0.9997846641739914
92,93773,1,93773,1.0
93,106384,8,106372,0.9998872010828697
94,40623,1,40623,1.0
95,295712,36,295637,0.9997463748512065
96,277705,2,277703,0.9999927981131056
97,431525,1,431525,1.0
98,42397,145,42109,0.9932070665377267
99,15761,1,15761,1.0
