contract_id,category,category_id,comp_nodes,coverage,alpha,error,diameter,est_apl,transitivity,density
0,defi,0,23175878,0.999986,2.140207,0.008764,2.948352664831918,0.2186100898300131,1.52068e-05,2.48544e-07
1,defi,0,1093419,0.975073,2.069239,0.007478,2.0856077181738324,0.2747299129642866,0.00681204,7.7545e-06
2,defi,0,8235742,0.999985,2.642766,0.006713,3.8934955589156255,0.2558937157781828,1.48838e-05,5.30953e-07
3,defi,0,1747934,0.998839,2.51269,0.005704,2.2262503320050615,0.28754416256952275,9.30784e-05,2.64071e-06
4,other,1,2374247,0.999977,2.958134,0.012375,1.6348561252145424,0.29927969139899846,1.90873e-05,1.48951e-06
5,defi,0,519853,1.0,5.636967,0.15434,0.7598032844757479,0.2906096362266125,1.34013e-05,6.24374e-05
6,defi,0,2694800,0.999948,3.552674,0.013084,1.0805820749909705,0.2220839970437114,5.5059e-06,1.23365e-06
7,defi,0,99259,0.99996,3.654597,0.025183,0.9560654984776772,0.2268048107524999,0.000142482,5.79991e-05
8,multimedia,2,2679248,0.999997,3.658886,0.021567,0.8107534710331651,0.1436425437187309,4.01177e-08,8.22525e-07
9,defi,0,33056,1.0,3.067392,0.029719,0.4804939459966105,0.19465222977116248,0.000533784,0.000292697
10,defi,0,177286,0.999904,2.658036,0.018121,2.813284106222374,0.32294300558337985,0.00115142,2.26626e-05
11,layer-2,3,1353065,0.999955,3.724685,0.01221,1.2749786966699306,0.2307899146169584,4.75419e-06,2.65415e-06
12,content,4,1314236,0.999995,3.229333,0.024745,2.76816293327989,0.311194108796392,1.67665e-05,2.37147e-06
13,defi,0,219090,0.999453,2.587608,0.01089,1.9516577810231108,0.2908096951480202,0.000520719,2.56563e-05
14,layer-2,3,1355829,0.99998,3.221475,0.017908,2.053835470578176,0.2510246579260464,5.49953e-06,2.2734e-06
15,layer-2,3,915712,0.999942,3.32635,0.0044,1.748320878278184,0.2637096551492649,2.57136e-05,4.25433e-06
16,defi,0,461563,0.99825,2.720767,0.01173,0.996751064221875,0.2508098634027517,5.28819e-05,7.44042e-06
17,defi,0,1062383,0.999887,3.274672,0.018597,3.5312706486188046,0.2907260532968855,1.84221e-05,3.36839e-06
18,defi,0,1236398,0.999986,2.243584,0.013634,4.277247513477818,0.2318459915568498,3.36472e-06,3.22841e-06
19,defi,0,283513,0.999968,2.847946,0.021136,2.8673804849569287,0.2891983406012438,8.74395e-05,1.46746e-05
20,defi,0,410508,0.993661,2.736423,0.014959,2.3984246473289903,0.33951751149172643,7.7327e-05,8.35809e-06
21,blockchain,5,1548604,0.999985,5.592709,0.015463,1.2629040343724744,0.2914578341846114,9.28672e-06,1.99318e-06
22,defi,0,26690,1.0,3.019241,0.021279,0.6868102054424204,0.23879036845970802,0.00151456,0.000415375
