features,k,silhouette,homogeneity
coverage,2,0.9450199273659073,0.01912504875931478
coverage,3,0.936985906440221,0.04589588587691386
coverage,4,0.9194013198146423,0.06334873010420415
coverage,5,0.9154701965975052,0.06334873010420414
coverage,6,0.9042857645456958,0.06334873010420415
coverage,7,0.9050905086098253,0.0756405042038254
coverage,8,0.8992570109480724,0.09246098322068655
coverage,9,0.8978397443475976,0.10475275732030777
coverage,10,0.7909837294018753,0.12892203767176885
coverage,11,0.7844102712890206,0.1412138117713901
coverage,12,0.7776437991525104,0.14676926241683488
coverage,13,0.7499063302748885,0.15136172801528544
coverage,14,0.734379032847944,0.15136172801528547
coverage,15,0.6539581058115038,0.21460444611753077
coverage,16,0.6519955902992228,0.25809562540054837
coverage,17,0.6388304446667378,0.25809562540054837
coverage,18,0.6243341571583363,0.24062009677967072
coverage,19,0.6156789954989969,0.24954370915220375
coverage,20,0.5962884218702714,0.24954370915220375
alpha,2,0.557148080820811,0.044032853146742594
alpha,3,0.5381984854859965,0.09019349137035043
alpha,4,0.5336835764278617,0.10401393584020281
alpha,5,0.57134811192427,0.1623888079341988
alpha,6,0.5997095999838703,0.15617753998403947
alpha,7,0.5827646001217094,0.18132440015434204
alpha,8,0.5644380957655539,0.19865036790906493
alpha,9,0.574965332585238,0.2406438140703578
alpha,10,0.5754728535923217,0.25661505138810964
alpha,11,0.578184516713181,0.2936951486317744
alpha,12,0.5850286821833007,0.29894281199701994
alpha,13,0.5983705762491379,0.3375666681671098
alpha,14,0.5919332189504882,0.35153565208698334
alpha,15,0.6024687228868882,0.36522792947809235
alpha,16,0.6086146618276104,0.38406250197801783
alpha,17,0.6059852653737725,0.38898567252245975
alpha,18,0.6129222502288055,0.4142668564124914
alpha,19,0.6035601435553296,0.4196671753009535
alpha,20,0.6039206633992141,0.423842810379429
error,2,0.5469405155331002,0.025836811464681145
error,3,0.6093662062502176,0.05055245543179509
error,4,0.5724499079575015,0.07212859178745262
error,5,0.5687353989725608,0.12400267962547733
error,6,0.5399817638801151,0.15784899767849533
error,7,0.5842118061225674,0.16913446915118208
error,8,0.5990295769445598,0.18327261333508316
error,9,0.6017246991649838,0.20198941222201935
error,10,0.5979046401082224,0.20689406489026535
error,11,0.5854865649347412,0.22836833200607812
error,12,0.5944486574661617,0.2599850713136086
error,13,0.5784817185341626,0.2893140675389407
error,14,0.5939625781452873,0.31367175174475814
error,15,0.6105084496547346,0.31474961221809156
error,16,0.6195291207570195,0.32163394445898275
error,17,0.6093180616236169,0.3250021061860709
error,18,0.6010079760657883,0.3270863827690293
