contract_id	diameter	est_apl	elapsed_time
0	50	3.707326	722652750579
1	29	3.820070	41238733020
2	62	4.074850	244973250358
3	32	4.133144	40257046746
4	24	4.393483	55029534163
5	10	3.824801	45457998207
6	16	3.288361	47832390088
7	11	2.609500	3971213324
8	12	2.126060	44145726049
9	5	2.025543	2500316927
10	34	3.902934	6129001946
11	18	3.258265	26826609779
12	39	4.384341	35888105678
13	24	3.576156	7686470674
14	29	3.544449	29180438906
15	24	3.620063	21330671688
16	13	3.271156	11872636763
17	49	4.034122	31573436988
18	60	3.252269	41249019103
19	36	3.630889	7862919017
20	31	4.388315	10961222840
21	18	4.154109	22713165991
22	7	2.433762	2524388189
23	10	2.660246	4195143120
24	13	3.754041	6319063062
25	23	3.447734	2089711538
26	12	2.745442	6140964162
27	9	2.475397	2649407891
28	8	2.310098	692572750
29	9	2.544365	13176982644
30	119	4.561946	31429455578
31	21	4.127647	14854054786
32	8	3.805806	33861091737
33	19	4.042920	9430798738
34	37	3.574811	15762925701
35	13	2.727689	9190072171
36	40	5.891151	15139485259
37	37	5.284736	8640899153
38	9	3.305548	2991257549
39	9	2.713389	5527767337
40	13	3.371163	6788711447
41	10	2.104913	1358928657
42	20	4.059537	11390126462
43	23	4.112779	6209919039
44	8	2.168471	2470220458
45	26	4.534855	11292454187
46	34	6.894514	14046843428
47	21	4.306013	9680797601
48	9	2.466001	1809586467
49	12	2.734925	6696172750
50	9	2.661248	3057190166
51	13	3.206912	2006121442
52	19	3.351495	11477926776
53	16	3.781990	6926085549
54	10	2.994556	5064287231
55	8	3.139007	3617613068
56	10	2.022336	14468856213
57	6	2.385126	1562742065
58	9	2.446931	936828088
59	11	3.395463	1697201325
60	15	2.880911	6858210084
61	14	3.814614	7619025313
62	49	3.484399	8577000644
63	10	3.661264	11545958377
64	8	2.001731	16853625547
65	7	2.000182	10690420569
66	10	2.147210	17415166146
67	13	3.715282	8779258119
68	8	2.225230	4639567282
69	9	2.468446	3289433048
70	9	2.016336	8958477820
71	10	2.271938	4283220804
72	6	3.336750	5272828296
73	17	3.980359	10179300050
74	27	3.353667	9565597331
75	28	4.332085	9164657377
76	14	3.486189	6852071801
77	14	3.782289	8909250961
78	17	2.037316	12154471662
79	21	4.334644	7643782371
80	6	2.251840	2377033075
81	31	4.311725	10274320326
82	14	3.797640	7792553307
83	9	3.708135	1003687676
84	13	3.375554	6565622428
85	14	4.066932	4443194970
86	24	3.723918	8376028245
87	8	2.710146	2927944258
88	13	3.259044	6400409480
89	4	2.537174	2183280984
90	11	3.719783	4263513372
91	36	2.984415	3170366856
92	10	2.974002	4953765617
93	13	3.284557	3849935331
94	7	2.049107	2046402996
95	20	3.716526	7454496548
96	25	3.877696	8107240456
97	4	2.508360	8305877078
98	62	3.254288	3241514121
99	6	2.256915	1704404775
